BatV1, BatI1, BatEn1, PanelV1, PanelP1, BatV2,BatI2, BatEn2, PanelV2, PanelP2, Hours
13.45, 3.21, 0.01, 19.86, 44.00, 0.1253
12.46, 0.82, 0.01, 18.10, 46.00, 0.1281
13.46, 3.21, 0.01, 19.46, 44.00, 0.1281
12.46, 1.46, 0.02, 19.44, 54.00, 0.1309
13.44, 2.89, 0.02, 19.43, 44.00, 0.1309
12.46, 1.46, 0.02, 19.41, 54.00, 0.1337
13.43, 2.79, 0.02, 17.94, 38.00, 0.1337
12.47, 1.51, 0.02, 19.84, 54.00, 0.1364
13.44, 2.97, 0.02, 18.52, 40.00, 0.1364
12.47, 1.50, 0.02, 19.84, 55.00, 0.1392
13.44, 3.39, 0.02, 19.83, 47.00, 0.1392
12.47, 1.50, 0.02, 19.87, 54.00, 0.1420
13.44, 3.43, 0.02, 20.47, 46.00, 0.1420
12.47, 1.48, 0.02, 20.24, 55.00, 0.1448
13.45, 3.39, 0.02, 19.46, 47.00, 0.1448
12.47, 1.50, 0.02, 20.20, 55.00, 0.1476
13.44, 3.18, 0.02, 18.92, 44.00, 0.1476
12.47, 1.52, 0.02, 19.84, 55.00, 0.1503
13.45, 3.29, 0.02, 18.06, 45.00, 0.1503
12.47, 1.48, 0.02, 19.81, 55.00, 0.1531
13.45, 3.28, 0.02, 19.83, 46.00, 0.1531
12.47, 1.48, 0.02, 19.47, 55.00, 0.1559
13.43, 2.79, 0.02, 19.49, 40.00, 0.1559
12.47, 1.48, 0.02, 20.17, 55.00, 0.1587
13.42, 2.91, 0.02, 18.06, 39.00, 0.1587
12.47, 1.47, 0.02, 20.12, 55.00, 0.1614
13.44, 3.10, 0.02, 17.07, 42.00, 0.1614
12.47, 1.47, 0.02, 19.23, 55.00, 0.1642
13.45, 3.39, 0.02, 18.79, 45.00, 0.1642
12.47, 1.50, 0.02, 19.23, 55.00, 0.1670
13.47, 3.52, 0.02, 19.68, 48.00, 0.1670
12.47, 1.50, 0.02, 19.47, 55.00, 0.1698
13.35, 0.44, 0.02, 18.92, 31.00, 0.1698
12.47, 1.50, 0.02, 19.48, 55.00, 0.1726
13.35, 0.39, 0.02, 19.53, 8.00, 0.1726
12.47, 1.50, 0.02, 20.15, 55.00, 0.1753
13.45, 3.36, 0.02, 20.78, 41.00, 0.1753
12.47, 1.50, 0.02, 19.81, 54.00, 0.1781
13.47, 3.51, 0.02, 19.34, 48.00, 0.1781
12.47, 1.52, 0.02, 19.78, 54.00, 0.1809
13.47, 3.51, 0.02, 19.74, 48.00, 0.1809
12.47, 1.44, 0.02, 20.11, 55.00, 0.1837
13.47, 3.50, 0.02, 19.98, 48.00, 0.1837
12.29, -2.30, -0.03, 15.40, 7.00, 0.1864
13.47, 3.51, -0.03, 19.47, 48.00, 0.1864
12.32, -1.63, -0.02, 14.39, 11.00, 0.1892
13.47, 3.49, -0.02, 19.13, 48.00, 0.1892
12.44, 0.45, 0.01, 14.00, 35.00, 0.1920
13.45, 3.51, 0.01, 19.71, 48.00, 0.1920
12.46, 0.82, 0.01, 15.37, 45.00, 0.1948
13.47, 3.39, 0.01, 19.92, 47.00, 0.1948
12.47, 1.12, 0.01, 16.81, 49.00, 0.1975
13.47, 3.43, 0.01, 19.47, 47.00, 0.1975
12.49, 1.31, 0.02, 17.94, 52.00, 0.2003
13.47, 3.42, 0.02, 18.61, 47.00, 0.2003
12.49, 1.43, 0.02, 19.20, 54.00, 0.2031
